decomposition reaction|SMARTS|number of conserved  rings
Pictet-Spengler-6-membered-ring|[C$([CH]([C,c])),CH2:10]-1-[N,NH,NH2+1:15]-[C$(C(C)(C)),C$([CH](C)),C$([CH2]):8]-[C$(C(C)(C)),C$([CH](C)),C$([CH2]):7]-[c:6]2[c:1][c:2][c:3][c:4][c:5]-12>>[N:15]-[C:8]-[C:7]-[c:6]1[c:1][c:2][c:3][c:4][cH:5]1.[CX4:10]=[O:11]|-1
Pictet-Spengler-5-membered-ring|[C$([CH]([C,c])),CH2:10]-1-[N,NH,NH2+1:15]-[C:8]-[C:7]-[c:6]2[c:1][c:2][nH:3][c:5]-12>>[N:15]-[C$(C(N)(C)(C)(C)),C$([CH](N)(C)(C)),C$([CH2](N)(C)):8]-[C$(C(c)(C)(C)(C)),C$([CH](c)(C)(C)),C$([CH2](c)(C)):7]-[c:6]1[c:1][c:2][nH:3][cH:5]1.[CX4:10]=[O:11]|-1
Aminothiazol_formation|[NH2,NH3+0:8]-[c:7]1[n:9][c:1][c:2][s:10]1>>[C$([CH]([Br,Cl,I])(C)([CX4])),C$([CH2]([Br,Cl,I])(c)),C$([CH2]([Br,Cl,I])(C)):1](-[Br,Cl,I:3])-[C$(C(C)([c,C])),C$([CH](C)):2]=[O:4]|-1
Paal-Knorr-pyrole_formation|[c:5]1[c:4][c:3][c:1][n+0:7]1>>[C$(C(=O)(C)([CX4])),C$(C[H](=O)(C)):1](=[O:2])-[C$([CH](C)(C)([CX4])),C$([CH2](C)(C)):3]-[C$([CH](C)(C)([CX4])),C$([CH2](C)(C)):4]-[C$(C(=O)(C)([CX4])),C$(C[H](=O)(C)):5]=[O:6].[N$([NH2,NH3+1]([CX4])):7]|-1
Triaryl-imidazol-1_2-diketone|[nH:27]1[c:7]([c:15]4[c:10][c:11][c:12][c:13][c:14]4)[n:26][c:23]([c:20]2[c:21][c:16][c:17][c:18][c:19]2)[c:22]([c:1]3[c:2][c:3][c:4][c:5][c:6]3)1>>[CH:7](=[O:8])-[c:1]1[c:2][c:3][c:4][c:5][c:6]1.[O:24]=[C:23](-[C:22](=[O:25])-[c:15]1[c:10][c:11][c:12][c:13][c:14]1)-[c:20]1[c:21][c:16][c:17][c:18][c:19]1|-1
Triaryl-imidazol-alpha_hydroxy_ketone|[nH:27]1[c:7]([n:26][c:23]([c:22]1[c:15]2[c:10][c:11][c:12][c:13][c:14]2)-[c:20]3[c:21][c:16][c:17][c:18][c:19]3)-[c:1]4[c:2][c:3][c:4][c:5][c:6]4>>[CH:7](=[O:8])-[c:1]1[c:2][c:3][c:4][c:5][c:6]1.[O:24]=[C:23](-[CH:22](-[OH:25])-[c:15]1[c:10][c:11][c:12][c:13][c:14]1)-[c:20]1[c:21][c:16][c:17][c:18][c:19]1|-1
Fischer_indole|[c:3]1[nH:7][c:9]2[c:10][c:11][c:12][c:13][c:8]2[c:4]1>>[C$([CH2](C)([CX4])),C$([CH3](C)):4]-[C$(C([CX4])(=O)([CX4])),C$([CH]([CX4])(=O)):3]=[O:1].[NH2:6]-[NH:7]-[c:9]1[c:10][c:11][c:12][c:13][cH:8]1|-1
Ester_formation_Acid_Chloride|[C,c:10][C:1](=[O:2])[O:3][C,c:11]>>[C,c:10][C:1](=[O:2])[Cl].[OH:3][C,c:11]|0
Thioester_formation_Acid_Chloride|[C,c:10][C:1](=[O:2])[S:3][C,c:11]>>[C,c:10][C:1](=[O:2])[Cl].[SH:3][C,c:11]|0
Reductive_amination-Primary_amine-Ketone|[C$([CH](C)(C)),C$([CH2](C)),C$([CH3]):3][NH:1][C$(C(C)(C)),C$([CH](C)):2]>>[C:2]=O.[NH2:1][C$([CH](C)(C)),C$([CH2](C)),C$([CH3]):3]|0
Amide_formation_acid_chloride|[C,c:10][C:1](=[O:2])[NH,N:3][C,c:11]>>[C,c:10][C:1](=[O:2])[Cl].[N:3][C,c:11]|0
Sulfonamide_formation_Sulfonyl_Chloride|[C$([CH3]),C$([CH2]([C,c])),C$([CH]([C,c])([C,c])),C$(C([C,c])([C,c])([C,c])),c:1][N:2][S$(S([C,c])),S:3](=[O:4])=[O:5]>>Cl[S:3](=[O:4])=[O:5].[N:2]-[C:1]|0
Ar-Imidazole_formation|[c:4]1[c:5][n:3]([c:2][n:1]1)-[c:6]1[c:7][c:8][c:9][c:10][c:11]1>>[c:5]1[c:4][nH:3][c:2][n:1]1.[OH,$(OC):13]-[B:12](-[OH,$(OC):14])-[c:6]1[c:7][c:8][c:9][c:10][c:11]1|0
FGI_Acyl_chloride|[C$([CH]),C$(C([C,c])):1](=[O:2])[Cl:3]>>[C:1](=[O:2])[OH:3]|0
FGI_sulfonyl_chloride|[S$(S([CX4,c])):1](=[O:2])(=[O:3])[Cl:4]>>[S:1](=[O:2])(=[O:3])[OH:4]|0
UGI-6-ring|[NH2,NH+0:15][c:14]1[c:7]([n:1][c:17]2[c:3][c:4][c:5][c:6][n+0:2]12)-[c:8]3[c:10][c:11][c:12][c:13][c:9]3>>O=[CH:7]-[c:8]1[c:10][c:11][c:12][c:13][c:9]1.[N+0:15]#[C-:14].[NH2:1]-[c:17]1[c:3][c:4][c:5][c:6][n:2]1|-1
Hantzsch|[c:8][c:7]1[c:6][s:4][c:3]([NH:2][C:1])[n+0:5]1>>[C:1][NH:2][C:3]([NH2,NH3+1:5])=[S:4].Br[CH2:6][C:7]([C,c:8])=O|-1
